
route,duration_hours
SZ-HK,14.2
SZ-HK,13.5
SZ-HK,15.1
SZ-HK,12.8
SZ-HK,14.0
SZ-HK,13.9
SZ-HK,14.7
SZ-HK,15.5
SZ-HK,13.2
SZ-HK,14.1
SZ-HK,13.8
SZ-HK,14.9
SZ-HK,12.5
SZ-HK,14.3
SZ-HK,13.6
SZ-HK,15.2
SZ-HK,14.1
SZ-HK,13.0
SZ-HK,14.4
SZ-HK,13.7
SZ-HK,15.8
SZ-HK,12.9
SZ-HK,14.2
SZ-HK,13.5
SZ-HK,14.8
SZ-HK,13.1
SZ-HK,14.0
SZ-HK,13.9
SZ-HK,15.3
SZ-HK,14.6
SZ-HK,13.4
SZ-HK,14.2
SZ-HK,13.8
SZ-HK,15.0
SZ-HK,12.7
SZ-HK,14.5
SZ-HK,13.3
SZ-HK,14.1
SZ-HK,15.6
SZ-HK,13.9
SZ-HK,14.3
SZ-HK,13.2
SZ-HK,14.9
SZ-HK,13.6
SZ-HK,14.0
SZ-HK,14.4
SZ-HK,12.9
SZ-HK,15.1
SZ-HK,13.8
SZ-HK,14.2
